"at this point in time. So yes Bomber, I agree with you that money does make a huge difference - just don't be a hypocrite about it. :roll: P.S. Messi and Co on another planet (fine line between pleasure and pain)","Wed Sep 14, 2016 1:54 pm",17,4326,World Football,Old Firm madness back
"have pulled her out because it's a rip off. People have a choice. Clubs can charge these fees because these days every parent has the next Lionel messi in the back of their car. With those stars in their eyes, I don't really feel sorry for them.","Tue Aug 30, 2016 10:41 pm",209,99092,Shoot Goal >>>>,Very Interesting Today On The Radio
So he's not God on Earth after all?,"Fri Jul 08, 2016 1:51 pm",5,1974,World Football,Leo the Crim
He missed another penalty,"Thu Jul 07, 2016 2:50 pm",5,1974,World Football,Leo the Crim
"Messi sentenced to 21 months in the slammer for tax fraud but, under Spanish law, he can just do it on probation, so it's no different to a suspended sentence really.","Wed Jul 06, 2016 10:14 pm",5,1974,World Football,Leo the Crim
and a few players have considered doing the same thing. There are rumours of a massive upheaval in the Argentine football association after Messi's announcement. Many top players are considering following Messi and the fans are VERY angry.,"Wed Jun 29, 2016 1:31 pm",12,3245,World Football,Copa America
You don't know the full story,"Tue Jun 28, 2016 8:51 am",12,3245,World Football,Copa America
Really? That's poor,"Mon Jun 27, 2016 3:24 pm",12,3245,World Football,Copa America
"Crazy finish, and now Messi retiring from Internationals.","Mon Jun 27, 2016 3:22 pm",12,3245,World Football,Copa America
"Crazy finish to the final this morning.2 red cards, plenty of bookings, Messi with a missed penalty - CHILE win again!","Mon Jun 27, 2016 1:03 pm",12,3245,World Football,Copa America
"Love this about Messi v USA A pitch-invader sprinted onto the surface and headed straight for Lionel Messi. Reaching the Argentine star, who became his country's all-time top scorer here, he hit the deck and bowed down several times","Thu Jun 23, 2016 12:38 pm",12,3245,World Football,Copa America
to them for all their effort. However their junior competition seems interested only in mums and dads who believe that their children are the next Messi and are gullible enough to fork out $800.00 a year to realize a dream. The fact is 99.99% of them do eventually realize that it is all a dream,"Sun Mar 06, 2016 12:25 pm",175,29636,Amateur League,Where is SAASL heading..
And the second,"Wed Feb 24, 2016 9:17 am",1244,262526,World Football,Arsenal 2018/2019
Is that the first time that Messi has scored against Cech?,"Wed Feb 24, 2016 9:16 am",1244,262526,World Football,Arsenal 2018/2019
"Messi, suarez, neymar, who the shiraz are they? We're not scared of anyone, bring em on","Tue Dec 15, 2015 9:09 am",1244,262526,World Football,Arsenal 2018/2019
"and especially AFFORDABLE . They just need to get Womens football also under their umbrella to encapture everyone. Not everyone is an aspiring Messi Shoot goal Good write, But ffsa junior colts model does not point towards participation but revenue raising for clubs and ffsa.","Fri Nov 27, 2015 10:28 am",17,11922,Shoot Goal >>>>,Is there a Govt agenda to push soccer out of the City/CBD?
and especially AFFORDABLE . They just need to get Womens football also under their umbrella to encapture everyone. Not everyone is an aspiring Messi Shoot goal Good write. But the ffsa junior colts model does not point towards participation but money raising. E&D does.,"Fri Nov 27, 2015 10:25 am",11,7282,Shoot Goal >>>>,JD v Junior Clubs
"Ospina played a blinder this morning against the Argies. Couple of world class saves to deny Messi & co Cech expected to be unveiled when he returns from his holiday Did you see Ospina run out to block then bottle it, then pretend to be injured. He has no place at Arsenal,","Wed Jul 01, 2015 1:03 pm",22,5338,World Football,Cech to Arsenal
Ospina played a blinder this morning against the Argies. Couple of world class saves to deny Messi & coCech expected to be unveiled when he returns from his holiday,"Sat Jun 27, 2015 11:54 am",22,5338,World Football,Cech to Arsenal
Did he rely on the defender to put it past the keeper like maradickhead as well?,"Wed Jun 17, 2015 9:18 pm",1,1309,World Football,Was Messi Imitating Maradona To get more famous ?
None forget how Lionel Messi embarrases Getafe as he dribbles through them with ease and scores a wonderful goal just like Maradona did to England in the World Cup. But was that just coincidence ? Didn't messi know that by trying to,"Wed Jun 17, 2015 7:52 pm",1,1309,World Football,Was Messi Imitating Maradona To get more famous ?
"aged between 14-16 years old. If players are deemed 'too old at 17-18' to be in an U18 squad, then change the name to U16 NPL. You mentioned Messi a while back, because of his talent at a young age. I reckon that for every exceptional young player, there are also several exceptional older","Thu May 28, 2015 1:28 am",67,22932,Junior Football,Has the standard of U18's gone backwards
